pitch_name,whiff_percent,k_percent
Slider,43.1,39.1
Curveball,26.9,22.1
4-Seamer,19.6,25
Curveball,18.3,19.1
4-Seamer,17.2,17.6
Changeup,12.9,2.9
4-Seamer,20,17.6
Slider,36.4,29.9
Slider,32.7,26.9
Changeup,31.7,19.4
4-Seamer,20.9,19.4
Changeup,26.6,11.9
Slider,53.3,49.3
Curveball,19,17.9
Slider,20.8,25.4
4-Seamer,21.7,19.4
Sinker,16.4,9
Slider,32.8,31.3
Slider,41.4,43.3
4-Seamer,10.1,6
Sinker,27.5,31.3
4-Seamer,26.2,18.2
Splitter,49,63.6
Sinker,12.7,13.6
Cutter,18.2,6.1
Sinker,18.3,15.2
4-Seamer,21.9,13.6
4-Seamer,25.9,16.7
Cutter,23.9,19.7
4-Seamer,19.5,18.2
Curveball,27.1,24.2
Slider,27.6,27.3
4-Seamer,28.7,24.2
Sinker,16.7,19.7
4-Seamer,28.8,28.8
Changeup,29.2,22.7
Changeup,37.1,24.6
4-Seamer,17.7,26.2
4-Seamer,24.7,13.8
Sinker,12.4,7.7
4-Seamer,24.8,27.7
4-Seamer,12.3,6.2
Cutter,26.2,18.5
Slider,26.3,16.9
Cutter,13.4,0
Slider,26.3,36.9
Changeup,51.6,47.7
4-Seamer,26.8,34.4
Sinker,20.2,23.4
4-Seamer,19.9,32.8
Slider,33.1,29.7
Sinker,16.5,17.2
Slider,24.1,25
Slider,34.4,28.1
Cutter,17,10.9
Changeup,28.7,32.8
Changeup,27.1,14.1
4-Seamer,16.4,1.6
4-Seamer,18.9,14.1
Slider,46.8,35.9
4-Seamer,17.2,12.5
4-Seamer,30,26.6
Sinker,11.3,15.9
4-Seamer,25.9,22.2
Changeup,20.5,25.4
Sinker,12.6,12.7
Sinker,7.7,9.5
Sinker,18.5,23.8
Curveball,60.2,46
Sinker,24.3,20.6
4-Seamer,6.3,3.2
Slider,40.2,36.5
Changeup,32.8,25.4
4-Seamer,20,16.1
Curveball,27.1,32.3
Cutter,25.6,16.1
Slider,36,30.6
Curveball,28.7,29
Cutter,27.3,19.4
4-Seamer,21.7,33.9
Curveball,29,27.4
Slider,18.7,17.7
Cutter,17.3,12.9
4-Seamer,21.2,29
4-Seamer,30,30.6
Curveball,43.4,41.9
4-Seamer,28.3,22.6
Slider,21.8,11.3
4-Seamer,24.8,21
Slider,49,35.5
4-Seamer,27,19.7
4-Seamer,15.4,16.4
Curveball,29.7,41
Cutter,27.4,8.2
4-Seamer,24.7,23
4-Seamer,26.2,23
4-Seamer,14.1,8.2
Sinker,7.1,9.8
Slider,24.4,23
Changeup,24.3,23.3
4-Seamer,33.9,26.7
Slider,21.8,28.3
Sinker,14.3,20
Sinker,20.8,26.7
Slider,21.7,23.3
Slider,41.1,36.7
4-Seamer,15.2,13.3
4-Seamer,12.4,10
Slider,33.9,28.3
Slider,20.4,15.3
Slider,40.7,30.5
Slider,36.4,35.6
Slider,48.8,39
Sinker,11.1,3.4
4-Seamer,15.7,20.3
Sinker,15.5,18.6
4-Seamer,16.5,23.7
Slider,38.8,32.2
Cutter,18.9,13.6
Slider,46.7,35.6
Changeup,28.7,22
Sinker,18.9,11.9
4-Seamer,34.2,41.4
Sinker,15.5,6.9
Slider,30.2,24.1
4-Seamer,20.2,15.5
4-Seamer,22.6,17.2
Cutter,12.1,10.3
Slider,39.3,39.7
Changeup,32.2,29.3
Cutter,30.3,22.4
Curveball,36.3,17.2
4-Seamer,13.7,3.4
Slider,26.7,24.1
Cutter,24.3,22.4
4-Seamer,27.1,28.1
Slider,45.1,43.9
Slider,35.1,35.1
Changeup,34.2,33.3
Slider,33.7,19.3
Slider,42.7,36.8
Sinker,15,7
Changeup,23.1,17.5
Sinker,6.8,12.3
Curveball,41.5,43.9
4-Seamer,20.2,15.8
4-Seamer,23,19.3
4-Seamer,25.5,19.3
Slider,22.8,14.3
Changeup,17.2,12.5
Sinker,14.8,19.6
Curveball,17.6,14.3
Slider,15,7.1
Slider,28.6,28.6
4-Seamer,27.4,32.1
Slider,47.4,32.1
4-Seamer,28.7,23.2
4-Seamer,16.2,8.9
Changeup,41.2,33.9
Slider,30.3,17.9
4-Seamer,20.2,16.1
Slider,14.1,18.2
Curveball,27.6,23.6
Curveball,47.1,38.2
Curveball,30,27.3
4-Seamer,19.7,18.2
Sinker,7.7,9.1
Slider,32.3,29.1
Slider,52,45.5
Slider,30.2,29.1
Slider,34.8,29.1
4-Seamer,23,27.3
4-Seamer,30.4,36.4
4-Seamer,16.3,16.4
4-Seamer,27.8,36.4
Slider,29.5,20
Curveball,19.2,16.4
Curveball,27.2,40
Slider,31.1,43.6
Sinker,21.4,14.5
Slider,39.1,29.1
4-Seamer,39.7,40
Changeup,25.5,16.7
4-Seamer,23.8,24.1
Curveball,45.1,48.1
Sinker,17.6,14.8
4-Seamer,20.4,27.8
4-Seamer,19,9.3
4-Seamer,21.2,13
Slider,27.2,16.7
Changeup,37,29.6
Cutter,16.4,5.6
Slider,44,38.9
Sinker,6.8,11.3
4-Seamer,30.1,34
Curveball,39.8,45.3
Slider,48.3,39.6
Curveball,27.2,30.2
Slider,40.4,22.6
Changeup,32.7,18.9
Cutter,19.3,9.4
Changeup,26.3,23.1
4-Seamer,20.2,23.1
Slider,36.7,34.6
4-Seamer,35.1,34.6
Sinker,15.6,5.8
Changeup,29.9,25.5
Slider,39.6,29.4
Sinker,17.9,13.7
Slider,25.4,17.6
4-Seamer,30.8,23.5
4-Seamer,22.5,11.8
Changeup,50.8,54.9
Slider,33.3,27.5
Changeup,57.3,47.1
Changeup,21.2,13.7
Slider,47,49
4-Seamer,34.5,39.2
4-Seamer,22.4,16
Slider,26.7,24
Slider,43.5,48
Cutter,25.2,10
Slider,22.1,16
Curveball,44.3,44
4-Seamer,19.8,6
4-Seamer,14.7,20
Slider,18.4,16
Changeup,12.5,8
Sinker,8.1,2
4-Seamer,20.6,38
Slider,43.3,40
Changeup,38.6,28
Changeup,34.4,30
Curveball,33,26
